*** Hong Kong (2107) ***
1.   International Commerce Centre, 484m
Completed: 2013
Functions: residential
Rank: 549

*** Tak Ying House ***
Height: 124.05
Floors: 41
Status: Completed
Completed: 2013
Functions: residential
Rank: 549

*** Tak Yiu House ***
Height: 124.05
Floors: 41
Status: Completed
Completed: 2013
Functions: residential
Rank: 549

*** Tak Yu House ***
Height: 124.05
Floors: 41
Status: Completed
Completed: 2013
Functions: residential
Rank: 549

*** Verbena Heights 7 ***
Height: 123.14
Floors: 38
Status: Completed
Completed: 1997
Functions: residential
Rank: 557

*** Green Code Towers 1-2 ***
Height: 123.14
Floors: 31
Status: Completed
Completed: 2014
Functions: residential
Rank: 558

*** Green Code Towers 3 ***
Height: 123.14
Floors: 31
Status: Completed
Completed: 2014
Functions: residential
Rank: 558

*** Green Code Towers 5 ***
Height: 123.14
Floors: 31
Status: Completed
Completed: 2014
Functions: residential
Rank: 558

*** Oi Yat House ***
Height: 122.83
Floors: 42
Status: Completed
Completed: 2001
Functions: residential
Rank: 561

*** MOD 595 ***
Height: 121.61
Floors: 34
Status: Completed
Completed: 2007
Functions: residential
Rank: 562

*** Hung Yan House ***
Height: 121.3
Floors: 40
Status: Completed
Completed: 2011
Functions: residential
Rank: 563

*** Hung Yiu House ***
Height: 121.3
Floors: 40
Status: Completed
Completed: 2011
Functions: residential
Rank: 563

*** Forfar ***
Height: 119.42
Floors: 33
Status: Completed
Started: 2008
Completed: 2011
Functions: residential
Rank: 565

*** Shui On Centre ***
Height: 118.5
Floors: 35
Status: Completed
Started: 1986
Completed: 1987
Functions: office
Rank: 566

*** Hung Yat House ***
Height: 118.25
Floors: 39
Status: Completed
Completed: 2011
Functions: residential
Rank: 567

*** Devon House ***
Height: 118
Floors: 29
Status: Completed
Completed: 1993
Functions: office
Rank: 568

*** Yiu Fook House ***
Height: 117.96
Floors: 40
Status: Completed
Completed: 1994
Functions: residential
Rank: 569

*** Yiu Fu House ***
Height: 117.96
Floors: 40
Status: Completed
Completed: 1994
Functions: residential
Rank: 569

*** Yiu Lok House ***
Height: 117.96
Floors: 40
Status: Completed
Completed: 1994
Functions: residential
Rank: 569

*** Yiu Wah House ***
Height: 117.96
Floors: 40
Status: Completed
Completed: 1994
Functions: residential
Rank: 569

*** Fuk Lok House ***
Height: 117.96
Floors: 39
Status: Completed
Completed: 1995
Functions: residential
Rank: 573

*** Fuk On House ***
Height: 117.96
Floors: 39
Status: Completed
Completed: 1995
Functions: residential
Rank: 573

*** Hing Cho House ***
Height: 117.65
Floors: 39
Status: Completed
Completed: 1996
Functions: residential
Rank: 575

*** Hing Fung House ***
Height: 117.65
Floors: 39
Status: Completed
Completed: 1996
Functions: residential
Rank: 575

*** Hing Hong House ***
Height: 117.65
Floors: 39
Status: Completed
Completed: 1996
Functions: residential
Rank: 575

*** Tung Lam Court ***
Height: 117.65
Floors: 39
Status: Completed
Completed: 1996
Functions: residential
Rank: 575

*** Yuet Ching House ***
Height: 117.35
Floors: 36
Status: Completed
Completed: 2013
Functions: residential
Rank: 579

*** 33-49 Des Voeux Road West ***
Height: 116
Floors: 27
Status: Completed
Completed: 2018
Functions: office / retail
Rank: 580

*** 99 Bonham ***
Height: 115.52
Floors: 32
Status: Completed
Completed: 2012
Functions: hotel
Rank: 581

*** High Point ***
Height: 114.61
Floors: 32
Status: Completed
Completed: 2015
Functions: residential
Rank: 582

*** Hoi Ning House-Hoi Nam House ***
Height: 114
Floors: 36
Status: Completed
Completed: 1999
Functions: residential
Rank: 583

*** Hoi Wen House ***
Height: 114
Floors: 36
Status: Completed
Completed: 1999
Functions: residential
Rank: 583

*** Hotel ICON ***
Height: 114
Floors: 28
Status: Completed
Started: 2007
Completed: 2011
Functions: hotel / education
Rank: 585

*** Cubus Building ***
Height: 113.35
Floors: 25
Status: Completed
Started: 2007
Completed: 2010
Functions: retail
Rank: 586

*** Hotel Indigo Hong Kong Island ***
Height: 112.75
Floors: 29
Status: Completed
Completed: 2013
Functions: hotel
Rank: 587

*** Chinese People`s Liberation Army Forces Hong Kong Building ***
Height: 112.6
Floors: 28
Status: Completed
Completed: 1979
Functions: government
Rank: 588

*** Bedford 28 ***
Height: 110.64
Floors: 30
Status: Completed
Completed: 2008
Functions: residential
Rank: 589

*** Tak Pui House ***
Height: 110.34
Floors: 36
Status: Completed
Completed: 2013
Functions: residential
Rank: 590

*** The Avenue Phase 1, T5 ***
Height: 109.8
Floors: 30
Status: Completed
Completed: 2014
Functions: residential
Rank: 591

*** Tregunter Tower 1 ***
Height: 109.75
Floors: 34
Status: Completed
Completed: 1981
Functions: residential
Rank: 592

*** Tregunter Tower 2 ***
Height: 109.75
Floors: 34
Status: Completed
Completed: 1981
Functions: residential
Rank: 592

*** Pearl City Mansion ***
Height: 109
Floors: 34
Status: Completed
Completed: 1971
Functions: office
Rank: 594

*** Cheung Chi House ***
Height: 107.9
Floors: 36
Status: Completed
Completed: 1984
Functions: residential
Rank: 595

*** Cheung Tak House ***
Height: 107.9
Floors: 36
Status: Completed
Completed: 1984
Functions: residential
Rank: 595

*** Tuen Mun Town Plaza Block 8 ***
Height: 107.59
Floors: 32
Status: Completed
Functions: residential
Rank: 597

*** Academic 3, City University of Hong Kong ***
Height: 107.35
Floors: 19
Status: Completed
Started: 2011
Completed: 2013
Functions: education
Rank: 598

*** Lincoln House ***
Height: 106.38
Floors: 24
Status: Completed
Completed: 1998
Functions: office
Rank: 599

*** Kwun Tong 223 ***
Height: 105.35
Floors: 22
Status: Completed
Started: 2005
Completed: 2009
Functions: office
Rank: 600

*** Dragon Pride ***
Height: 105.16
Floors: 32
Status: Completed
Functions: residential
Rank: 601

*** Cityplaza 1 ***
Height: 105.16
Floors: 27
Status: Completed
Functions: office / retail
Rank: 602

*** The Beacon ***
Height: 104.5
Floors: 29
Status: Completed
Completed: 2017
Functions: residential
Rank: 603

*** SKYPARK ***
Height: 104.05
Floors: 25
Status: Completed
Started: 2013
Completed: 2016
Functions: residential / retail
Rank: 604

*** J Hotel @ Jervois Street ***
Height: 102
Floors: 29
Status: Completed
Started: 2010
Completed: 2011
Functions: hotel
Rank: 605

*** Oi Yuk House ***
Height: 100.58
Floors: 32
Status: Completed
Completed: 2001
Functions: residential
Rank: 606

*** Hung Sing House ***
Height: 99
Floors: 30
Status: Completed
Completed: 1999
Functions: residential
Rank: 607

*** Southern Lodge ***
Height: 96.01
Floors: 29
Status: Completed
Completed: 2008
Functions: residential
Rank: 608

*** Trade and Industry Tower ***
Height: 95.4
Floors: 22
Status: Completed
Completed: 2015
Functions: office
Rank: 609

*** Lee Garden Five ***
Height: 94.79
Floors: 25
Status: Completed
Completed: 1989
Functions: office
Rank: 610

*** THE MOOD Lyndhurst ***
Height: 94.67
Floors: 24
Status: Completed
Started: 2011
Completed: 2015
Functions: hotel
Rank: 611

*** Wan Tin House ***
Height: 94.49
Floors: 31
Status: Completed
Completed: 1975
Functions: residential
Rank: 612

*** M+ ***
Height: 94.36
Floors: 20
Status: Under Construction
Started: 2015
Completed: 2019
Functions: Museum
Rank: 613

*** Hong Kong Poly Technic University Community College, Hung Hom Campus ***
Height: 93.6
Floors: 19
Status: Completed
Started: 2006
Completed: 2007
Functions: education
Rank: 614

*** Cornwall House ***
Height: 92.67
Floors: 22
Status: Completed
Completed: 1984
Functions: office
Rank: 615

*** Best Western Hotel Tsim Sha Tsui ***
Height: 92.35
Floors: 25
Status: Completed
Completed: 2012
Functions: hotel
Rank: 616

*** Warwick House ***
Height: 90.22
Floors: 20
Status: Completed
Functions: office
Rank: 617

*** 100 Queens Road Central ***
Height: 90
Floors: 27
Status: Completed
Started: 2005
Completed: 2006
Functions: office
Rank: 618

*** The Lily Repulse Bay ***
Height: 89.5
Floors: 28
Status: Completed
Completed: 2005
Functions: hotel
Rank: 619

*** The Murray ***
Height: 89
Floors: 27
Status: Completed
Completed: 1970
Functions: government
Rank: 620

*** The Hong Kong Club Building ***
Height: 87.41
Floors: 23
Status: Completed
Started: 1980
Completed: 1984
Functions: office
Rank: 621

*** Banyan Mansion ***
Height: 86.56
Floors: 32
Status: Completed
Functions: residential
Rank: 622

*** Kin On Mansion ***
Height: 86.56
Floors: 32
Status: Completed
Functions: residential
Rank: 622

*** Ko On Mansion ***
Height: 86.56
Floors: 32
Status: Completed
Functions: residential
Rank: 622

*** Pine Mansion ***
Height: 86.56
Floors: 32
Status: Completed
Functions: residential
Rank: 622

*** Hing On Mansion ***
Height: 84.73
Floors: 31
Status: Completed
Functions: residential
Rank: 626

*** Ning On Mansion ***
Height: 84.73
Floors: 31
Status: Completed
Functions: residential
Rank: 626

*** Po On Mansion ***
Height: 84.73
Floors: 31
Status: Completed
Functions: residential
Rank: 626

*** Shun On Mansion ***
Height: 84.73
Floors: 31
Status: Completed
Functions: residential
Rank: 626

*** Oi Sin House ***
Height: 84.73
Floors: 22
Status: Completed
Completed: 2001
Functions: residential
Rank: 630

*** Leighton Centre ***
Height: 84.43
Floors: 23
Status: Completed
Completed: 1977
Functions: office
Rank: 631

*** Ruttenjee Hospital ***
Height: 83.82
Floors: 13
Status: Completed
Functions: hospital
Rank: 632

*** ICAC Headquarters Building ***
Height: 83
Floors: 25
Status: Completed
Started: 2005
Completed: 2007
Functions: office
Rank: 633

*** Fuk Tai House ***
Height: 82.91
Floors: 28
Status: Completed
Completed: 1995
Functions: residential
Rank: 634

*** Lee Garden Six ***
Height: 82.6
Floors: 23
Status: Completed
Completed: 1988
Functions: office
Rank: 635

*** Cityplaza 4 ***
Height: 82.6
Floors: 21
Status: Completed
Functions: office
Rank: 636

*** One Hysan Avenue ***
Height: 82.3
Floors: 24
Status: Completed
Completed: 1976
Functions: office
Rank: 637

*** Cityplaza 3 ***
Height: 81.99
Floors: 21
Status: Completed
Functions: office
Rank: 638

*** Prince of Wales Hospital ***
Height: 81.99
Floors: 14
Status: Completed
Started: 2007
Completed: 2010
Functions: hospital
Rank: 639

*** Yiu Hing House ***
Height: 81.69
Floors: 27
Status: Completed
Completed: 1995
Functions: residential
Rank: 640

*** Mount Parker Residences ***
Height: 81.55
Floors: 21
Status: Completed
Completed: 2014
Functions: residential
Rank: 641

*** Foong Shan Mansion ***
Height: 81.08
Floors: 30
Status: Completed
Functions: residential
Rank: 642

*** Fu Shan Mansion ***
Height: 81.08
Floors: 30
Status: Completed
Functions: residential
Rank: 642

*** Fu Shan Mansion ***
Height: 81.08
Floors: 30
Status: Completed
Functions: residential
Rank: 642

*** Heng Shan Mansion ***
Height: 81.08
Floors: 30
Status: Completed
Functions: residential
Rank: 642

*** Kam Shan Mansion ***
Height: 81.08
Floors: 30
Status: Completed
Functions: residential
Rank: 642

*** Loong Shan Mansion ***
Height: 81.08
Floors: 30
Status: Completed
Functions: residential
Rank: 642

*** Lu Shan Mansion ***
Height: 81.08
Floors: 30
Status: Completed
Functions: residential
Rank: 642

*** Nan Shan Mansion ***
Height: 81.08
Floors: 30
Status: Completed
Functions: residential
Rank: 642

*** Po Shan Mansion ***
Height: 81.08
Floors: 30
Status: Completed
Functions: residential
Rank: 642

*** Tai Shan Mansion ***
Height: 81.08
Floors: 30
Status: Completed
Functions: residential
Rank: 642

*** Tien Shan Mansion ***
Height: 81.08
Floors: 30
Status: Completed
Functions: residential
Rank: 642

*** Tung Shan Mansion ***
Height: 81.08
Floors: 30
Status: Completed
Functions: residential
Rank: 642

*** Wah Shan Mansion ***
Height: 81.08
Floors: 30
Status: Completed
Functions: residential
Rank: 642

*** Yee Shan Mansion ***
Height: 81.08
Floors: 30
Status: Completed
Functions: residential
Rank: 642

*** Begonia Mansion ***
Height: 80.77
Floors: 30
Status: Completed
Functions: residential
Rank: 656

*** Lotus Mansion ***
Height: 80.77
Floors: 30
Status: Completed
Functions: residential
Rank: 656

*** Marigold Mansion ***
Height: 80.77
Floors: 30
Status: Completed
Functions: residential
Rank: 656

*** Nam Hoi Mansion ***
Height: 80.77
Floors: 30
Status: Completed
Functions: residential
Rank: 656

*** Pak Hoi Mansion ***
Height: 80.77
Floors: 30
Status: Completed
Functions: residential
Rank: 656

*** Primrose Mansion ***
Height: 80.77
Floors: 30
Status: Completed
Functions: residential
Rank: 656

*** Tung Hoi Mansion ***
Height: 80.77
Floors: 30
Status: Completed
Functions: residential
Rank: 656

*** Wisteria Mansion ***
Height: 80.77
Floors: 30
Status: Completed
Functions: residential
Rank: 656

*** Po Yang Mansion ***
Height: 80.77
Floors: 29
Status: Completed
Functions: residential
Rank: 664

*** Tai Woo Mansion ***
Height: 80.77
Floors: 29
Status: Completed
Functions: residential
Rank: 664

*** Tung Ting Mansion ***
Height: 80.77
Floors: 29
Status: Completed
Functions: residential
Rank: 664

*** Juniper Mansion ***
Height: 80.47
Floors: 30
Status: Completed
Functions: residential
Rank: 667

*** Maple Mansion ***
Height: 80.47
Floors: 30
Status: Completed
Functions: residential
Rank: 667

*** Oak Mansion ***
Height: 80.47
Floors: 30
Status: Completed
Functions: residential
Rank: 667

*** Willow Mansion ***
Height: 80.47
Floors: 30
Status: Completed
Functions: residential
Rank: 667

*** Cheung King-Cheung Shun House ***
Height: 80.47
Floors: 28
Status: Completed
Completed: 1984
Functions: residential
Rank: 671

*** Cheung Lok-Cheung Wo House ***
Height: 80.47
Floors: 28
Status: Completed
Completed: 1984
Functions: residential
Rank: 671

*** Cheung Yue-Cheung Fung House ***
Height: 80.47
Floors: 28
Status: Completed
Completed: 1984
Functions: residential
Rank: 671

*** Choi Wah House ***
Height: 80.47
Floors: 28
Status: Completed
Completed: 1982
Functions: residential
Rank: 671

*** Choi Wu House ***
Height: 80.47
Floors: 28
Status: Completed
Completed: 1982
Functions: residential
Rank: 671

*** Chi Sing Mansion ***
Height: 80.16
Floors: 29
Status: Completed
Functions: residential
Rank: 676

*** Hang Sing Mansion ***
Height: 80.16
Floors: 29
Status: Completed
Functions: residential
Rank: 676

*** Hoi Sing Mansion ***
Height: 80.16
Floors: 29
Status: Completed
Functions: residential
Rank: 676

*** Kam Sing Mansion ***
Height: 80.16
Floors: 29
Status: Completed
Functions: residential
Rank: 676

*** Ngan Sing Mansion ***
Height: 80.16
Floors: 29
Status: Completed
Functions: residential
Rank: 676

*** Tien Sing Mansion ***
Height: 80.16
Floors: 29
Status: Completed
Functions: residential
Rank: 676

*** Wai Sing Mansion ***
Height: 80.16
Floors: 29
Status: Completed
Functions: residential
Rank: 676

*** Yiu Sing Mansion ***
Height: 80.16
Floors: 29
Status: Completed
Functions: residential
Rank: 676

*** Choi Tien Mansion ***
Height: 79.55
Floors: 27
Status: Completed
Functions: residential
Rank: 684

*** Fu Tien Mansion ***
Height: 79.55
Floors: 27
Status: Completed
Functions: residential
Rank: 684

*** Heng Tien Mansion ***
Height: 79.55
Floors: 27
Status: Completed
Functions: residential
Rank: 684

*** Hoi Tien Mansion ***
Height: 79.55
Floors: 27
Status: Completed
Functions: residential
Rank: 684

*** Kai Tien Mansion ***
Height: 79.55
Floors: 27
Status: Completed
Functions: residential
Rank: 684

*** King Tien Mansion ***
Height: 79.55
Floors: 27
Status: Completed
Functions: residential
Rank: 684

*** Kwan Tien Mansion ***
Height: 79.55
Floors: 27
Status: Completed
Functions: residential
Rank: 684

*** Nam Tien Mansion ***
Height: 79.55
Floors: 27
Status: Completed
Functions: residential
Rank: 684

*** Yat Tien Mansion ***
Height: 79.55
Floors: 27
Status: Completed
Functions: residential
Rank: 684

*** Chai Kung Mansion ***
Height: 79.25
Floors: 29
Status: Completed
Functions: residential
Rank: 693

*** Han Kung Mansion ***
Height: 79.25
Floors: 29
Status: Completed
Functions: residential
Rank: 693

*** Hsia Kung Mansion ***
Height: 79.25
Floors: 29
Status: Completed
Functions: residential
Rank: 693

*** Ming Kung Mansion ***
Height: 79.25
Floors: 29
Status: Completed
Functions: residential
Rank: 693

*** Tang Kung Mansion ***
Height: 79.25
Floors: 29
Status: Completed
Functions: residential
Rank: 693

*** Tsui Kung Mansion ***
Height: 79.25
Floors: 29
Status: Completed
Functions: residential
Rank: 693

*** Yen Kung Mansion ***
Height: 79.25
Floors: 29
Status: Completed
Functions: residential
Rank: 693

*** Yuan Kung Mansion ***
Height: 79.25
Floors: 29
Status: Completed
Functions: residential
Rank: 693

*** Dragon View Garden ***
Height: 78.03
Floors: 26
Status: Completed
Functions: residential
Rank: 701

*** Oi Po House ***
Height: 78.03
Floors: 21
Status: Completed
Completed: 2001
Functions: residential
Rank: 702

*** PolyU West Kowloon Campus ***
Height: 78
Floors: 19
Status: Completed
Completed: 2001
Functions: education
Rank: 703

*** St. John's Building ***
Height: 78
Status: Completed
Started: 1982
Completed: 1983
Functions: office
Rank: 704
