*** Hong Kong (2107) ***
1.   International Commerce Centre, 484m
653. Tung Shan Mansion, 81m
654. Wah Shan Mansion, 81m
655. Yee Shan Mansion, 81m
656. Begonia Mansion, 81m
657. Lotus Mansion, 81m
658. Marigold Mansion, 81m
659. Nam Hoi Mansion, 81m
660. Pak Hoi Mansion, 81m
661. Primrose Mansion, 81m
662. Tung Hoi Mansion, 81m
663. Wisteria Mansion, 81m
664. Po Yang Mansion, 81m
665. Tai Woo Mansion, 81m
666. Tung Ting Mansion, 81m
667. Juniper Mansion, 80m
668. Maple Mansion, 80m
669. Oak Mansion, 80m
670. Willow Mansion, 80m
671. Cheung King-Cheung Shun House, 80m
672. Cheung Lok-Cheung Wo House, 80m
673. Cheung Yue-Cheung Fung House, 80m
674. Choi Wah House, 80m
675. Choi Wu House, 80m
676. Chi Sing Mansion, 80m
677. Hang Sing Mansion, 80m
678. Hoi Sing Mansion, 80m
679. Kam Sing Mansion, 80m
680. Ngan Sing Mansion, 80m
681. Tien Sing Mansion, 80m
682. Wai Sing Mansion, 80m
683. Yiu Sing Mansion, 80m
684. Choi Tien Mansion, 80m
685. Fu Tien Mansion, 80m
686. Heng Tien Mansion, 80m
687. Hoi Tien Mansion, 80m
688. Kai Tien Mansion, 80m
689. King Tien Mansion, 80m
690. Kwan Tien Mansion, 80m
691. Nam Tien Mansion, 80m
692. Yat Tien Mansion, 80m
693. Chai Kung Mansion, 79m
694. Han Kung Mansion, 79m
695. Hsia Kung Mansion, 79m
696. Ming Kung Mansion, 79m
697. Tang Kung Mansion, 79m
698. Tsui Kung Mansion, 79m
699. Yen Kung Mansion, 79m
700. Yuan Kung Mansion, 79m
701. Dragon View Garden, 78m
702. Oi Po House, 78m
703. PolyU West Kowloon Campus, 78m
704. St. John's Building, 78m

******************** DETAILS ********************

*** Hong Kong ***
Country: China
Region: Asia
