*** Chicago (1107) ***
493 towers: Willis Tower, Trump International Hotel & Tower, Vista Tower, 875 North Michigan Avenue, The Franklin - North Tower, Two Prudential Plaza, 311 South Wacker Drive, NEMA Chicago, 900 North Michigan Avenue, Chase Tower, Water Tower Place, Aqua at Lakeshore East, Park Tower, One Bennett Park, The Legacy at Millennium Park, Bank of America Tower, 300 North LaSalle, Three First National Plaza, Grant Thornton Tower, Blue Cross-Blue Shield Tower, River Point, Olympia Centre, One Museum Park, 150 North Riverside, AMA Plaza, Waldorf Astoria Chicago, 111 South Wacker, 181 West Madison, 71 South Wacker, One Magnificent Mile, 340 on the Park, 77 West Wacker Drive, Wolf Point East Tower, UBS Tower, Richard J. Daley Center, 55 East Erie, Lake Point Tower, River East Center, Grand Plaza Apartments, 155 North Wacker, Leo Burnett Building, The Heritage at Millennium Park, NBC Tower, 353 North Clark, Essex on the Park, OneEleven, Millennium Centre, Chicago Place, Chicago Board of Trade, 333 South Wabash, One Prudential Plaza, Heller International Tower, Madison Plaza, The Grant, 1000 Lake Shore Plaza, The Clare, Citigroup Center, Marina City I, Marina City II, Optima Signature, 55 East Monroe, Crain Communications Building, North Pier Apartments, Citadel Center, The Fordham, 190 South LaSalle, One South Dearborn, Onterie Center, Loews Chicago Hotel, Chicago Temple Building, CNA Center, Palmolive Building, Kluczynski Federal Building, Huron Plaza, Boeing International Headquarters, The Parkshore, North Harbor Tower, Civic Opera Building, Harbor Point, Streeter Place, Newberry Plaza, Michigan Plaza South, 30 North LaSalle, Pittsfield Building, One South Wacker, Park Millennium, AMLI River North, The Franklin - South Tower, The Pinnacle, 465 North Park, LaSalle National Bank, Park Place Tower, One North LaSalle Street, Elysees Condominiums, River Plaza, The Paragon Chicago, 35 East Wacker Drive, Kemper Building, Mather Tower, 10 South Wacker, 30 South Wacker, The Columbian, 191 North Wacker Drive, 401 East Ontario Street, One Financial Place, The Streeter, 600 North Lake Shore Drive - South Tower, Park Tower Condominiums, LaSalle-Wacker Building, 321 North Clark Street, Harris Bank Bank Addition II, 215 West, Carbide & Carbon Building, 400 East Ohio Street, One Superior Place, 120 North LaSalle, 10 South LaSalle, The Tides at Lakeshore East, 200 South Wacker, Parkview West, 500 North Lake Shore Drive, 55 West Monroe, Ontario Place, 727 West Madison, The Ritz-Carlton Residences, 50 East Chestnut Street, PNC Centre, No. 9 Walton, 235 West Van Buren, The Bristol, 333 Wacker Drive, AT&T South Canal, Wolf Point West , The Regatta, 33 North LaSalle, 73 East Lake, Lincoln Park 2550, Moment, Bankers Building, Metropolitan Tower, Cook County Administration Building, Plaza 440, American Furniture Mart, Hotel InterContinental, City Place, Roosevelt University Academic, Student Life Residence Center, Columbus Plaza, Coast at Lakeshore East, The Sterling, Tribune Tower, 200 North Dearborn Apartments, Randolph Tower, Presidential Towers I, Presidential Towers II, Presidential Towers III, Presidential Towers IV, The New York, Chicago Marriott, The Residences at Grand Plaza, 600 North Fairbanks, Swissotel Chicago, Equitable Building, Kingsbury Plaza, 400 North LaSalle, ABN AMRO Plaza, 600 North Lake Shore Drive - North Tower, Residence Inn Chicago Downtown/Loop, Riverbend Condominiums, The Shoreham, Eugenie Terrace on the Park, Fifth Third Center, Hubbard Place, 200 Squared, Ann & Robert H. Lurie Children's Hospital of Chicago, 300 South Wacker, 444 North Michigan, MILA, Marriott Marquis Chicago, Optima Chicago Center, 1001 South State Street, Wrigley Building, Willoughby Tower, Marquee, 123 North Wacker, 180 North LaSalle, Silver Tower, 225 West Wacker, Shirley Ryan AbilityLab, 1130 South Michigan, The Gallery On Wells, McClurg Court Center A, McClurg Court Center B, 1555 North Astor, 225 West Randolph Street, AMA Building, Eugenie Square, 202 West Hill Street, Fairmont Hotel, Sky55, 2020 North Lincoln Park West, Skybridge, The Sinclair, Alta at K Station - East Tower, 2 East Erie, Hartford Plaza South, Northern Trust Building, 10 East Delaware, MoMo, State and Chestnut, 1100 North Lake Shore Drive, Museum Tower, Malibu East, 200 West Adams, Two First National Plaza, Lake Shore Plaza, 1300 North Lake Shore Drive, Time-Life Building, The Montgomery, Galter Pavilion, 420 East Ohio, Buckingham Plaza, Millennium Park Plaza, 777 North Michigan, Avondale Center, River View II, James House, Cityfront Place, 333 North Michigan, Metcalfe Federal Building, The Pearson, Walton Colonnade, The Plaza on Dewitt, 1110 North Lake Shore Drive, Avenue Hotel, 150 North Wacker, 225 West Washington Street, East Point, The Chandler, The Lex, The Carlyle, Wells Street Tower, Forty-One East Eighth, The Fairbanks at Cityfront Plaza, Northwestern Medicine 259 East Erie, The Elm at Clark, The Wyndham Grand Chicago Riverfront, 2626 North Lakeview, 2650 North Lakeview, Everett McKinley Dirksen United States Courthouse, Hotel Palomar, The Aurelien, Alta at K Station - West Tower, Outer Drive East, 1700 East 56th Street, 1400 Museum Park, Two Illinois Center, 33 West Monroe, 633 North St. Clair, Astoria Tower, 2800 North Lake Shore Drive, Brookdale Plaza, 303 West Madison, Arkadia Tower, Sheraton Chicago Hotel & Towers, 1720 South Michigan, The Admiral at the Lake, Hawthorne House, 1111 South Wabash, One East Delaware, K2 at K Station, Left Bank at K Station, Kinzie Park Tower, Hyatt Regency Chicago West Tower, Echelon at K Station, The Chicagoan, One Illinois Center, Edgewater Plaza North, The Allerton Hotel Chicago, 2 East Oak Street, Chestnut Tower, Walton on the Park, 200 West Jackson, Regents Park South, 1600 Museum Park, Exhibit on Superior, Alta Roosevelt, 230 West Monroe Street, Florsheim Tower, Malibu Condominiums, Three Illinois Center, 625 North Michigan, LINEA, Eight O Five, 33 North Dearborn, Park Alexandria, Hyatt Regency Chicago East Tower, Sofitel Chicago Water Tower, Drake Tower, Edgewater Plaza South, Eleven40, Hyatt Regency McCormick Place, 222 North LaSalle, Regents Park North, Chicago Hilton & Towers, Merchandise Mart, 3150 North Lake Shore Drive, 1550 North Lake Shore Drive Apartments, University Hall, 200 East Delaware, Century Tower, Loop Transportation Center, Elm Street Plaza, Michigan Plaza North, 990 North Lake Shore Drive, Transunion Building, 1212 North Lake Shore Drive, 2500 North Lakeview, 55 East Jackson, Arkes Family Pavilion, Inland Steel Building, Concord City Centre, Gold Coast Galleria, 525 West Monroe Street, ADA Building, Museum Park Place 2, South Shore Beach Apartments, 840 North Lake Shore Drive, Michigan Terrace Condominiums, 1240 North Lake Shore Drive, 530 North Lake Shore Drive, 500 North Michigan Avenue, The Breakers at Edgewater Beach, 101 North Wacker, Apparel Center, Old Republic Building, The Lancaster, Vetro, Harris Bank Addition I, Americana Towers, 1212 South Michigan, River View I, 1133 North Dearborn, The Cooper, Westin Michigan Avenue, Gateway Center IV, 1 North Dearborn, LondonHouse Chicago, Courtyard Chicago Magnificent Mile, 100 Bellevue Place, 2 North LaSalle Street, Prentice Women's Hospital, The Parker, 100 West Chestnut, 1000 South Clark, Michigan Avenue Tower I, McCormick Building, Burnham Pointe, 777 South State, 550 St. Clair, Hilton Suites Chicago, theWit Hotel, Michigan Avenue Tower II, Hilton Homewood Suites and Wabash Suites Hotel, EnV, James R. Thompson Center, Landmark West Loop, 65 East Wacker Place, Socony-Vacuum Building, SoNo West Tower, 625 West Adams, Hyatt Centric The Loop Chicago, 1136-1140 South Wabash Avenue, The National, Riverside Plaza, 120 South LaSalle, 231 South LaSalle , Michigan Avenue Lofts, People's Gas Building, 1111 North Dearborn, Kingsbury on the Park, Lake-Michigan Building, Loop Center Building, 4 East Elm Street, Virgin Hotels Chicago, Cambria Hotel Chicago Loop Theatre District, Burnham Center, Michigan Boulevard Building, NEXT, Gr333N, Astor Tower, W Hotel Chicago Lakeshore, River North Marriott Suites, Feinberg Pavillion, Bel Harbour, 1600 East 53rd Street, Lawyers Building, Noble Square Co-op, North American Building, Harris Bank Building, Garland Building, Wrigley Building North Addition, 3Eleven, 8 East Huron, Marquee Michigan Avenue, Erie on the Park, 1418 North Lake Shore Drive, Randolph-Wells Building, Consumers Building, Renaissance Blackstone, Astor House, MDA City Apartments, One Triple Three, Museum Pointe, Metropolitan Correctional Center, 5000 East End Building, 208 South LaSalle Street, Solstice on the Park, Renaissance Chicago Downtown Hotel, Lake Vista Apartments North, Mallers Building, Eight Eleven Uptown, 525 Hawthorne, CDW Plaza, Transportation Building, Horizon House, Majestic Building, 29 East Madison Street, 200 West Monroe, 640 North Wells Street, Museum Park Tower I, Metropolitan Block, Ward Memorial Building, Lake Park Plaza, Cornell Village, River Place on the Park, 22 West Washington, 3150 North Sheridan, Chicago Board of Trade Addition, Fisher Building, Loyola University Tower, Chicago Athletic Association Annex, The Newport North Tower, The Newport South Tower, Borg-Warner Building, Macy's at State Street, Quadrangle House, Jones , The Bernardin, Admiral's Point, State of Illinois Building, Prairie Pointe, Hollywood Towers North, Hollywood Towers South, 860 North Lake Shore Drive, 880 North Lake Shore Drive, The Powhatan, 734 North Milwaukee, 14 East Jackson Boulevard, Criminal Courts Administration Building, Rehabilitation Institute of Chicago, 1401 South State , Pearson on the Park, Century Building, The Hudson, Hubbard 221, Palmer House, Hermitage on Huron, Esplanade Apartments I, Esplanade Apartments II, Harper Square Cooperative - North Tower, Harper Square Cooperative - South Tower, Hilton Garden Inn Chicago Downtown/Magnificent Mile, Santa Fe Building, Museum Park Place 1, 899 South Plymouth Court, Lake Village East, 55 West Wacker, 1410 North State Parkway, AMLI 900, 2101 South Michigan, 205 West Wacker, Barclay Condominiums, Cambridge Manor, Hilton Garden Inn Chicago North Loop, Wolberg Hall, Commonwealth Promenade I, Commonwealth Promenade II, Rush University Medical Center Hospital Tower, Hampton Inn / Homewood Suites Chicago Downtown West Loop, Narragansett Apartments, 123 East Cermak, Westin River North, Hotel EMC2
Tiers: I: 199, II: 167, III: 102, IV: 19, V: 4, VI: 2
Rating: 1107 (3.4% uncompleted)
Scraped on: 2019-Jan-20 16:05:16

*** Willis Tower ***
Height: 442.14
Floors: 108
Status: Completed
Started: 1970
