*** London (366) ***
Completed: 2013
Functions: residential / hotel / office
Rank: 1

*** Twentytwo ***
Height: 278.19
Floors: 62
Status: Under Construction
Started: 2016
Completed: 2019
Functions: office
Rank: 2

*** One Canada Square ***
Height: 236
Floors: 50
Status: Completed
Started: 1989
Completed: 1991
Functions: office
Rank: 3

*** Landmark Pinnacle ***
Height: 233.2
Floors: 77
Status: Under Construction
Started: 2016
Completed: 2020
Functions: serviced apartments / residential
Rank: 4

*** Salesforce Tower ***
Height: 230
Floors: 46
Status: Completed
Started: 2008
Completed: 2011
Functions: office
Rank: 5

*** The Leadenhall Building ***
Height: 224
Floors: 52
Status: Completed
Started: 2011
Completed: 2014
Functions: office
Rank: 6

*** Newfoundland ***
Height: 219.8
Floors: 58
Status: Architecturally Topped Out
Started: 2015
Completed: 2019
Functions: residential
Rank: 7

*** Valiant Tower ***
Height: 214.5
Floors: 68
Status: Under Construction
Started: 2016
Completed: 2020
Functions: residential
Rank: 8

*** One Park Drive ***
Height: 204.93
Floors: 57
Status: Under Construction
Started: 2016
Completed: 2019
Functions: residential
Rank: 9

*** 25 Canada Square ***
Height: 201
Floors: 42
Status: Completed
Started: 1999
Completed: 2002
Functions: office
Rank: 10

*** 8 Canada Square ***
Height: 199.51
Floors: 42
Status: Completed
Started: 1999
Completed: 2002
Functions: office
Rank: 11

*** City Tower ***
Height: 199.4
Floors: 58
Status: Under Construction
Started: 2015
Completed: 2019
Functions: residential / retail
Rank: 12

*** The Scalpel ***
Height: 190.1
Floors: 39
Status: Completed
Started: 2015
Completed: 2018
Functions: office
Rank: 13

*** Wardian East Tower ***
Height: 187.23
Floors: 55
Status: Under Construction
Started: 2016
Completed: 2019
Functions: residential
Rank: 14

*** Tower 42 ***
Height: 182.9
Floors: 43
Status: Completed
Started: 1971
Completed: 1980
Functions: office
Rank: 15

*** The Madison ***
Height: 181.95
Floors: 55
Status: Under Construction
Started: 2016
Functions: residential / office
Rank: 16

*** The Tower, One St George Wharf ***
Height: 180.6
Floors: 52
Status: Completed
Started: 2010
Completed: 2014
Functions: residential
Rank: 17

*** 30 St Mary Axe ***
Height: 179.8
Floors: 40
Status: Completed
Started: 2000
Completed: 2004
Functions: office
Rank: 18

*** 100 Bishopsgate ***
Height: 171.6
Floors: 40
Status: Structurally Topped Out
Started: 2015
Completed: 2019
Functions: office
Rank: 19

*** AYKON London One ***
Height: 169.75
Floors: 50
Status: Under Construction
Started: 2017
Completed: 2020
Functions: residential
Rank: 20

*** Wardian West Tower ***
Height: 168.08
Floors: 50
Status: Under Construction
Started: 2016
Completed: 2019
Functions: residential
Rank: 21

*** One Blackfriars ***
Height: 165
Floors: 52
Status: Completed
Started: 2014
Completed: 2018
Functions: residential
Rank: 22

*** Principal Tower  ***
Height: 161.28
Floors: 50
Status: Architecturally Topped Out
Started: 2014
Completed: 2019
Functions: residential
Rank: 23

*** The Broadgate Tower ***
Height: 161.25
Floors: 35
Status: Completed
Started: 2006
Completed: 2008
Functions: office
Rank: 24

*** 20 Fenchurch Street ***
Height: 160.12
Floors: 36
Status: Completed
Started: 2009
Completed: 2014
Functions: office
Rank: 25

*** River Tower ***
Height: 160.1
Floors: 42
Status: Under Construction
Started: 2015
Completed: 2019
Functions: residential / hotel / retail
Rank: 26

*** One Churchill Place ***
Height: 156.34
Floors: 30
Status: Completed
Started: 2001
Completed: 2004
Functions: office
Rank: 27

*** 25 Bank Street ***
Height: 153
Floors: 30
Status: Completed
Started: 2000
Completed: 2003
Functions: office
Rank: 28

*** 40 Bank Street ***
Height: 153
Floors: 30
Status: Completed
Started: 2000
Completed: 2003
Functions: office
Rank: 28

*** 10 Upper Bank Street ***
Height: 150.9
Floors: 30
Status: Completed
Started: 2000
Completed: 2003
Functions: office
Rank: 30

*** South Bank Tower ***
Height: 150.44
Floors: 42
Status: Completed
Started: 2014
Completed: 2016
Functions: residential
Rank: 31

*** Carrara Tower ***
Height: 149.6
Floors: 43
Status: Architecturally Topped Out
Started: 2015
Completed: 2019
Functions: residential / office / retail
Rank: 32

*** Arena Tower ***
Height: 149.1
Floors: 45
Status: Completed
Started: 2013
Completed: 2017
Functions: residential
Rank: 33

*** 10 Park Drive ***
Height: 148.89
Floors: 43
Status: Structurally Topped Out
Started: 2015
Completed: 2019
Functions: residential
Rank: 34

*** Castilla ***
Height: 148.7
Floors: 46
Status: Completed
Started: 2015
Completed: 2018
Functions: residential
Rank: 35

*** Guy's Tower ***
Height: 148.65
Floors: 34
Status: Completed
Completed: 2015
Functions: hospital
Rank: 36

*** Pan Peninsula East Tower ***
Height: 148
Floors: 48
Status: Completed
Completed: 2008
Functions: residential
Rank: 37

*** Strata ***
Height: 147.85
Floors: 43
Status: Completed
Started: 2007
Completed: 2010
Functions: residential
Rank: 38

*** 1 Bank Street ***
Height: 145.4
Floors: 27
Status: Structurally Topped Out
Started: 2016
Completed: 2019
Functions: office
Rank: 39

*** Harbour Central-Maine Tower ***
Height: 143.7
Floors: 42
Status: Architecturally Topped Out
Started: 2016
Completed: 2019
Functions: residential
Rank: 40

*** Manhattan Loft Gardens ***
Height: 142
Floors: 42
Status: Completed
Started: 2015
Completed: 2018
Functions: residential / hotel
Rank: 41

*** Imperial West Tower ***
Height: 138.5
Floors: 35
Status: Architecturally Topped Out
Started: 2015
Completed: 2019
Functions: residential
Rank: 42

*** Landmark East Tower ***
Height: 136.5
Floors: 44
Status: Completed
Started: 2007
Completed: 2010
Functions: residential
Rank: 43

*** Providence Tower ***
Height: 136
Floors: 44
Status: Completed
Started: 2013
Completed: 2016
Functions: residential
Rank: 44

*** Pan Pacific Hotel ***
Height: 135.33
Floors: 44
Status: Under Construction
Started: 2016
Completed: 2019
Functions: residential / hotel
Rank: 45

*** 101 George Street ***
Height: 135
Floors: 44
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 46

*** Atlas ***
Height: 134.52
Floors: 40
Status: Architecturally Topped Out
Started: 2016
Completed: 2019
Functions: residential
Rank: 47

*** Pinnacle Apartments ***
Height: 134
Floors: 44
Status: Completed
Started: 2010
Completed: 2016
Functions: residential
Rank: 48

*** Stratford Halo ***
Height: 133.1
Floors: 43
Status: Completed
Started: 2008
Completed: 2013
Functions: residential
Rank: 49

*** Keybridge Lofts ***
Height: 133
Floors: 36
Status: Under Construction
Started: 2016
Completed: 2019
Functions: residential / office / retail
Rank: 50

*** Valencia Tower ***
Height: 129.85
Floors: 37
Status: Under Construction
Started: 2015
Completed: 2019
Functions: residential / office / retail
Rank: 51

*** The GRID Building ***
Height: 128.12
Floors: 36
Status: Architecturally Topped Out
Started: 2015
Completed: 2019
Functions: residential
Rank: 52

*** CityPoint ***
Height: 127.1
Floors: 36
Status: Completed
Started: 1962
Completed: 2000
Functions: office
Rank: 53

*** The Stage ***
Height: 126
Floors: 38
Status: Under Construction
Started: 2016
Completed: 2020
Functions: residential
Rank: 54

*** Nine Elms Point, Albert Point ***
Height: 126
Floors: 34
Status: Architecturally Topped Out
Started: 2014
Completed: 2019
Functions: residential
Rank: 55

*** Two Fifty One ***
Height: 125.2
Floors: 39
Status: Completed
Started: 2014
Completed: 2018
Functions: residential
Rank: 56

*** Harbour Central-Block C ***
Height: 124.8
Floors: 36
Status: Architecturally Topped Out
Completed: 2019
Functions: residential
Rank: 57

*** The Willis Building ***
Height: 124.77
Floors: 28
Status: Completed
Started: 2005
Completed: 2007
Functions: office
Rank: 58

*** Euston Tower ***
Height: 124.3
Floors: 36
Status: Completed
Completed: 1968
Functions: office
Rank: 59

*** One Crown Place South ***
Height: 123.43
Floors: 35
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential / office / retail
Rank: 60

*** One The Elephant ***
Height: 123.3
Floors: 37
Status: Completed
Started: 2013
Completed: 2016
Functions: residential
Rank: 61

*** Cromwell Tower ***
Height: 123
Floors: 42
Status: Completed
Completed: 1973
Functions: residential
Rank: 62

*** Lauderdale Tower ***
Height: 123
Floors: 42
Status: Completed
Completed: 1974
Functions: residential
Rank: 62

*** Shakespeare Tower ***
Height: 123
Floors: 42
Status: Completed
Completed: 1976
Functions: residential
Rank: 62

*** Chelsea Waterfront-West Tower ***
Height: 122.45
Floors: 37
Status: Structurally Topped Out
Started: 2015
Completed: 2018
Functions: residential
Rank: 65

*** One Casson Square ***
Height: 122.3
Floors: 37
Status: Under Construction
Completed: 2018
Functions: residential
Rank: 66

*** Pan Peninsula West Tower ***
Height: 122
Floors: 39
Status: Completed
Completed: 2008
Functions: residential
Rank: 67

*** Vauxhall Sky Gardens ***
Height: 120
Floors: 36
Status: Completed
Started: 2014
Completed: 2017
Functions: residential
Rank: 68

*** Novotel Canary Wharf ***
Height: 119.3
Floors: 40
Status: Completed
Started: 2014
Completed: 2017
Functions: hotel
Rank: 69

*** Millbank Tower ***
Height: 118.87
Floors: 33
Status: Completed
Started: 1959
Completed: 1962
Functions: office
Rank: 70

*** 25 Churchill Place ***
Height: 118
Floors: 24
Status: Completed
Started: 2012
Completed: 2014
Functions: office
Rank: 71

*** Aviva Tower ***
Height: 117.9
