*** Tokyo (991) ***
364 towers: Toranomon Hills, Midtown Tower, Tokyo Metropolitan Government Building, Sunshine 60 Tower, NTT DoCoMo Yoyogi Building, Roppongi Hills Mori Tower, Opera City Tower, Shinjuku Park Tower, Sumitomo Roppongi Grand Tower, Shibuya Scramble Square, Shinjuku Mitsui Building, Shinjuku Center Building, St. Luke's Tower, Shiodome City Center, Dentsu Headquarters Building, Shinjuku Sumitomo Building, Shinjuku Nomura Building, The Parkhouse Nishi Shinjuku Tower 60, Ark Hills Sengokuyama Mori Tower, Akasaka Intercity AIR, GranTokyo North Tower, GranTokyo South Tower, Mode Gakuen Cocoon Tower, Izumi Garden Tower, Japan Post Tower, Sompo Japan Head Office Building, The Yomiuri Shimbun Building, The Otemachi Tower, Shin-Marunouchi Building, Sumitomo Fudosan Shinjuku Grand Tower, Harumi Island Triton Square Tower X, Sanno Park Tower, Nippon Television Tower, Nihonbashi Mitsui Tower, Kachidoki View Tower, The Tokyo Towers Mid Tower, The Tokyo Towers Sea Tower, Tokyo Midtown Hibiya, Tomihisa Cross Comfort Tower, Acty Shiodome, Shinjuku I-Land Tower, Toshima Ecomusee Town, Cerulean Tower, Capital Gate Place, Atago Green Hills Mori Tower, Shinjuku Oak Tower, Owl Tower, Shibuya Hikarie, Tokyo Nihonbashi Tower, Century Park Tower, Park City Toyosu Building A, Proud Tower Shinonome Canal Court, NEC Supertower, JA Building, Shibuya Stream, Tokyo Garden Terrace Kioicho - Kioi Tower, Sumitomo Fudosan Mita Twin Building West, Akasaka Biz Tower, Marunouchi Building, Otemachi 2-Chome 1st Class Urban Redevelopment Project Building A, Kachidoki The Tower, W-Comfort Towers East, Keio Plaza North Building, Marunouchi Trust Building Main Tower, A2 Tower 3 Harumi, A3 Tower 3 Harumi, Otemachi Financial City South Tower, Kasumigaseki Common Gate West Building, Harumi Island Triton Square Tower Y, The Parkhouse Harumi Towers Tiaro Residence, Tokyo Shiodome Building , Shiodome Media Tower, Park Axis Aoyama 1-chome Tower, Royal Park Shiodome Tower, City Towers Toyosu North Tower,  Kyobashi EDOGRAND, Shibaura Island Air Tower, Park Court Akasaka Hinokicho The Tower, Marunouchi Park Building, JT Building, The Parkhouse Harumi Towers Krono Residence, Bay City Harumi Sky Link Tower, Shibaura Island Grove Tower, Otemachi Financial City Grand Cube, JR Shinjuku Miraina Tower, Central Park La Tour Shinjuku, Shibaura Island Bloom Tower, Sapia Tower, Capital Mark Tower, Toshiba Building, Yebisu Garden Place Tower, City Towers Toyosu South Tower, Kita Shinjuku 2 Chome Building, Toyosu Center Building, Harumi View Tower, Twin Parks Left Wing, Twin Parks Right Wing, Naka-Meguro Atlas Tower, Otemachi 2-Chome 1st Class Urban Redevelopment Project Building B, Waterras Tower, KDDI Building, Tokyo Building, Tokyo Metropolitan Government Building II, Shirogane 6-Chome Redevelopment, Akasaka Tower Residence, Shibaura Island Cape Tower, Shinjuku Maynds Tower, Nihon Seimei Marunouchi Building, Concieria Nishi-Shinjuku Tower's West, Tornare Nihonbashi Hamacho Tower, Apartment Tower Kachidoki, Shiba 3-Chome Coop Building, Brillia Tower Tokyo, Roppongi Hills Residential Building B, Roppongi Hills Residential Building C, Prudential Tower, Tokyo World Trade Center, Joyama Project, Sky Tree East, K-Tower, Shiroyama JT Trust Tower, Park Court Akasaka The Tower, Atago Green Hills Forest Tower, Kasumigaseki Common Gate East Building, Kasumigaseki Building, NTT DoCoMo Sumida Building, Shinagawa Season Terrace, Plaza Tower Kachidoki, The Toyosu Tower, Tokyo Dome Hotel, Harumi Island Triton Square Tower Z, Nikkei Building, SKYZ Tower & Garden, Otemachi Financial City North Tower, Hilltop Tower, Toranomon Towers Residence, W-Comfort Towers West, City Towers Toyosu The Symbol, Station Garden Tower, Ark Hills Mori Building, Park Tower Gran Sky, Garden Air Tower, Futakotamagawa Rise Tower & Residence East, Odakyu Southern Tower, Shiba-Koen First Building, Kudan Dai 3 Complex Chiyoda Prefecture Office, Air Rise Tower, The Roppongi Tokyo Club Residence, Sumitomo Mitsui Banking Corporation East Tower, Iidabashi Grand Bloom, JR East Japan Building, Marunouchi Eiraku Building, Granpark Tower, Otemachi Park Building, Iidabashi Grand Bloom, Pacific Century Plaza, Sumitomo Realty Iidabashi First Tower, Park Court Chiyoda Fujimi The Tower, Park Court Chiyoda Fujimi Tower, Shinagawa East One Tower, Shinagawa Grand Central Tower, Akihabara Fuji Soft ABC Building, Mitsubishi UFJ Trust & Banking Corporate Head Office, Taiyo Life Shinagawa Building, Marunouchi Kitaguchi Building, Toyosu Center Building Annex, Mitsubishi Heavy Industries Building, Meiji Yasuda Life Building, St. Luke's International Residences, Tokyo Sankei New Building, Bunkyō Civic Center, Kabukiza Tower, NTT DoCoMo Shinagawa Building, River City 21 East Towers II, Hotel New Otani Tokyo, Garden Tower, Shinagawa Intercity Tower A, Canon S Tower, Iino Building, Shinagawa V-Tower, Shinagawa Prince Hotel New Tower, Mizuho Bank Headquarters, Akihabara Dai Building, East Core Towing Nibankan, Akasaka Park Building, World City Breeze Tower, World City Capital Tower, Shinagawa Intercity Tower B, Shinagawa Intercity Tower C, River City 21 Skylight Tower, World City Aqua Tower, The Tower Grandia, Keio Plaza Hotel South Building, Tokyo Times Tower, Roppongi T-CUBE, Venasis Kanamachi Tower Residence, Otemachi Nomura Building, Futakotamagawa Rise 2a, Cosmopolis Shinagawa, Nippon Express Headquarters, Tekko Building, Hotel New Otani Garden Court, Akasaka Intercity, Riverside Sumida Center, Nakano-Sakaue Sun Bright Twin, Moon Island Tower	, Shinjuku NS Building, Shiodome Building, Tokyo Tech Tower, Tokyo ANA Tower, NBF Osaki Building, Sumitomo Realty Shiba-Koen Tower, NTT Data Shinagawa Building, River City 21 Riverpoint Tower , Shibuya Cross Tower, City Tower Shinjuku Shintoshin, Shinjuku Kokusai Building - Hilton Tokyo, Tomin Tower Shinonome, Imperial Hotel Imperial Tower, River City 21 East Towers I, Ochanomizu Sola City, NTT Shinjuku Head Office Building, Shiodome Sumitomo Building, M&D Tower, Tokyo Square Garden, Shinjuku L Tower, Takeda Global Headquarters, FUJI TV Headquarters, Shinjuku Monolith Building, STEC Information Building, Boissonade Tower, The Towers Daiba East, The Towers Daiba West, Keidanren Kaikan, Ginza Mitsui Building, Coredo Nihombashi, Tokyu Capitol Tower, Sumitomo Fudosan Shiodome Hamarikyu Building, Toyosu Canal Wharf Tower East, Toyosu Canal Wharf Tower West, Panasonic Electric Works Tokyo Headquarters Building, Shin-Marunouchi Center Building, Asahi Seimei Otemachi Building, Muromachi Furukawa Mitsui Building, Kosha Tower Tsukuda	, Sun City Ginza East, Liberty Tower, Toyo Takarazuka Theatre, Sumitomo Mitsui Banking Corporation Head Office, Izumi Garden Residence, Hyatt Regency Tokyo, Nishi-Shinbashi Square, Ariake Frontier Building, Toranomon Kotohira Tower, Roppongi 3 Chome East District Redevelopment Residential Tower, Nippon Life Marunouchi Garden Tower, Mitsubishi Corporation Building, Risona Maruha Building Redevelopment, Palace Building, Tradepia Odaiba, Palace Hotel Tokyo, DN Tower 21, Grand Nikko Tokyo Daiba, Midtown East, Daiba Frontier Building, Shin-Gofukubashi Building, Shiodome Shiba-rikyu Building, Toranomon Towers Office, Park Tower Shinagawa Bayward, Kanda Warabi-cho district first type city redevelopment project, Celia Odaiba Area 1 Building 1, Tomin Tower Daiba Area 1 Building 2, The Peninsula Tokyo, I-Mark Tower, Tokyo Mitsubishi UFJ Bank Head Office, BAYZ Tower & Garden , National Cancer Center Chuo Hospital, Shinjuku Green Tower Building, Lions Tower Tsukishima	, The Crest Tower, Kyobashi Trust Tower, Shinagawa Prince Hotel Executive Tower, Nihonbashi Muromachi Nomura Building, Tokyo Marine Nichido Building, Ark Hills South Tower, Muromachi Higashi Mitsui Building, Dai-ichi Hotel Tokyo, Kokusai Fashion Center, Shibuya Mark City West Tower, Holland Hills Mori Tower, KDDI Otemachi Building, NTT Shinagawa Twins Annex Building, DiverCity Tokyo Office Tower, Shimizu Corporation Tokyo Headquarters, Otemachi First Square - East, Otemachi First Square - West, Ootemachi Financial Center Building, Daido Seimei Kasumigaseki Building, Akasaka Tameike Tower, The Prince Park Tower Tokyo, Mitsui Marine & Fire Insurance Co. Headquarters, Storia Shinagawa, Yaesu First Financial Building, Motoazabu Hills Forest Tower, Shibuya Infos Tower, Shin-Saiwaibashi Building, Futakotamagawa Rise Tower & Residence Building A, Futakotamagawa Rise Tower & Residence Building C, Mitsui Sumitomo Insurance Kanda Surugadai Annex, Tokyo Baycourt Club Hotel and Spa Resort, River Pier Azumabashi Life Tower, River City 21 Cityfront Tower , Ote Center Building, W Building, Shibuya Mark City East Tower, Kokusai Shin-Akasaka East Building, JR Shinagawa East Building, Juntendo University Hospital Building B, Marunouchi Trust Tower North Building, Akasaka Centerville, Momento Shiodome, Sony City, Jikei University Hospital, Toppan Forms Head Office Building, Toranomon 2-chome Tower, Atlas Tower Roppongi, Onarimon Tokyo Jikei Medical School New Building, UrbanNet Otemachi Building, Shinjuku Washington Hotel, Grand Hyatt Tokyo, TBS Broadcasting Center, Asahi Beer Azumabashi Building, Pacific Tower Roppongi, T&D Financial Building, Center for the Mentally and Physically Handicapped, Marunouchi Hotel, Industrial Property Information and Training Museum, Tokyo Medical and Dental University Building 3, Century Tower, Roppongi First Building, Shinjuku First West, Tokyo Garden Terrace Kioicho - Kioi Residence, Tokyo Bank Association Building, Tokyo Medical and Dental University Hospital B Wing, Toyota Tokyo Headquarters, The Itoyama Tower, Tokyo Medical and Dental University Hospital A Wing, Tokyo Medical University Hospital, Marunouchi Center Building, Shinagawa Crystal Square, Hibiya Dai Building, JX Building, Sumida Ward Office, Teikyo University Hospital, Okubo Hospital Tower 2, Kokusai Akasaka Building, Koraku Mori Building, University of Tokyo Hospital, IM Tower, Muromachi Chibagin Mitsui Building, Okubo Hospital Tower 1, Showa University Hospital, Roppongi Ark Towers East, Juntendo University Hospital Building 1, Shimbashi No 29 Redevelopment
Tiers: I: 71, II: 141, III: 137, IV: 15
Rating: 991 (1.6% uncompleted)
Scraped on: 2019-Jan-20 16:05:17

*** Toranomon Hills ***
Height: 255.5
Floors: 52
Status: Completed
Started: 2011
Completed: 2014
Functions: hotel / residential / office
Rank: 1

*** Midtown Tower ***
Height: 247.9
Floors: 54
Status: Completed
Started: 2003
Completed: 2007
Functions: hotel / office
Rank: 2

*** Tokyo Metropolitan Government Building ***
Height: 243.39
Floors: 48
Status: Completed
Started: 1988
Completed: 1991
Functions: office
Rank: 3

*** Sunshine 60 Tower ***
Height: 240
Floors: 60
Status: Completed
Started: 1973
Completed: 1978
Functions: office
Rank: 4

*** NTT DoCoMo Yoyogi Building ***
Height: 240
Floors: 33
Status: Completed
Completed: 2000
Functions: office
Rank: 5

*** Roppongi Hills Mori Tower ***
Height: 238.06
Floors: 54
Status: Completed
Started: 2000
Completed: 2003
Functions: office
Rank: 6

*** Opera City Tower ***
Height: 234.37
Floors: 54
Status: Completed
Started: 1992
Completed: 1997
Functions: office
Rank: 7

*** Shinjuku Park Tower ***
Height: 232.57
Floors: 52
Status: Completed
Started: 1990
Completed: 1994
Functions: hotel / office
Rank: 8

*** Sumitomo Roppongi Grand Tower ***
Height: 230
Floors: 40
Status: Completed
Started: 2013
Completed: 2016
Functions: office
Rank: 9

*** Shibuya Scramble Square ***
Height: 228.3
Floors: 47
Status: Structurally Topped Out
Started: 2014
Completed: 2019
Functions: office
Rank: 10

*** Shinjuku Mitsui Building ***
Height: 225
Floors: 55
Status: Completed
Started: 1972
Completed: 1974
Functions: office
Rank: 11

*** Shinjuku Center Building ***
Height: 222.81
Floors: 54
Status: Completed
Started: 1976
Completed: 1979
Functions: office / retail
Rank: 12

*** St. Luke's Tower ***
Height: 220.63
Floors: 51
Status: Completed
Completed: 1994
Functions: office
Rank: 13

*** Shiodome City Center ***
Height: 215.75
Floors: 43
Status: Completed
Started: 2000
Completed: 2003
Functions: office
Rank: 14

*** Dentsu Headquarters Building ***
Height: 213.34
Floors: 48
Status: Completed
Started: 1999
Completed: 2002
Functions: office
Rank: 15

*** Shinjuku Sumitomo Building ***
Height: 210.3
Floors: 52
Status: Completed
Started: 1971
Completed: 1974
Functions: office
Rank: 16

*** Shinjuku Nomura Building ***
Height: 209
Floors: 53
Status: Completed
Completed: 1978
Functions: office
Rank: 17

*** The Parkhouse Nishi Shinjuku Tower 60 ***
Height: 208.97
Floors: 60
Status: Completed
Started: 2014
Completed: 2017
Functions: residential
Rank: 18

*** Ark Hills Sengokuyama Mori Tower ***
Height: 206.69
Floors: 47
Status: Completed
Started: 2010
Completed: 2012
Functions: office / residential
Rank: 19

*** Akasaka Intercity AIR ***
Height: 205.08
Floors: 37
Status: Completed
Started: 2015
Completed: 2017
Functions: office
Rank: 20

*** GranTokyo North Tower ***
Height: 205
Floors: 43
Status: Completed
Completed: 2007
Functions: office
Rank: 21

*** GranTokyo South Tower ***
Height: 205
Floors: 42
Status: Completed
Completed: 2007
Functions: office
Rank: 22

*** Mode Gakuen Cocoon Tower ***
Height: 203.65
Floors: 50
Status: Completed
