*** Toronto (934) ***
Rank: 3

*** Scotia Tower ***
Height: 275
Floors: 68
Status: Completed
Started: 1985
Completed: 1988
Functions: office
Rank: 4

*** Aura at College Park ***
Height: 271.93
Floors: 78
Status: Completed
Started: 2010
Completed: 2014
Functions: residential
Rank: 5

*** Brookfield Place ***
Height: 260.91
Floors: 53
Status: Completed
Started: 1987
Completed: 1990
Functions: office
Rank: 6

*** One Bloor Street East ***
Height: 257.3
Floors: 75
Status: Completed
Started: 2011
Completed: 2017
Functions: residential
Rank: 7

*** Commerce Court West ***
Height: 239
Floors: 57
Status: Completed
Completed: 1973
Functions: office
Rank: 8

*** CIBC Square I ***
Height: 237.8
Floors: 49
Status: Under Construction
Started: 2017
Completed: 2020
Functions: office
Rank: 9

*** Harbour Plaza Residences East ***
Height: 237
Floors: 71
Status: Completed
Started: 2013
Completed: 2017
Functions: residential
Rank: 10

*** ÏCE Condominiums at York Centre 2 ***
Height: 234.15
Floors: 67
Status: Completed
Started: 2011
Completed: 2015
Functions: residential
Rank: 11

*** Sugar Wharf Tower D ***
Height: 230.2
Floors: 70
Status: Under Construction
Started: 2018
Completed: 2022
Functions: residential
Rank: 12

*** Harbour Plaza Residences West ***
Height: 228.3
Floors: 67
Status: Completed
Started: 2013
Completed: 2017
Functions: residential
Rank: 13

*** Eau Du Soleil Sky Tower ***
Height: 228.2
Floors: 66
Status: Architecturally Topped Out
Started: 2015
Completed: 2019
Functions: residential
Rank: 14

*** Ten York ***
Height: 224
Floors: 65
Status: Completed
Started: 2014
Completed: 2018
Functions: residential
Rank: 15

*** TD Tower ***
Height: 222.81
Floors: 56
Status: Completed
Started: 1964
Completed: 1967
Functions: office
Rank: 16

*** Sugar Wharf Tower E ***
Height: 218.4
Floors: 64
Status: Under Construction
Started: 2018
Completed: 2022
Functions: residential
Rank: 17

*** The Prestige at Pinnacle One Yonge ***
Height: 216.2
Floors: 65
Status: Under Construction
Started: 2018
Completed: 2022
Functions: residential
Rank: 18

*** Bay-Adelaide Centre ***
Height: 214.71
Floors: 52
Status: Completed
Started: 2006
Completed: 2010
Functions: office
Rank: 19

*** Shangri-La Hotel Toronto ***
Height: 214
Floors: 65
Status: Completed
Started: 2007
Completed: 2012
Functions: residential / hotel
Rank: 20

*** Ritz-Carlton Hotel & Residences ***
Height: 209.51
Floors: 54
Status: Completed
Started: 2007
Completed: 2011
Functions: residential / hotel
Rank: 21

*** Massey Tower ***
Height: 208.3
Floors: 60
Status: Architecturally Topped Out
Started: 2014
Completed: 2019
Functions: residential / retail
Rank: 22

*** The Residences of 488 University Avenue ***
Height: 206.96
Floors: 55
Status: Under Construction
Started: 2015
Completed: 2019
Functions: residential / office
Rank: 23

*** Bay-Wellington Tower ***
Height: 206.96
Floors: 49
Status: Completed
Started: 1989
Completed: 1991
Functions: office
Rank: 24

*** L Tower ***
Height: 205
Floors: 59
Status: Completed
Started: 2010
Completed: 2015
Functions: residential
Rank: 25

*** Four Seasons Private Residences West Tower ***
Height: 204
Floors: 55
Status: Completed
Started: 2008
Completed: 2012
Functions: residential / hotel
Rank: 26

*** ÏCE Condominiums at York Centre 1 ***
Height: 202.3
Floors: 57
Status: Completed
Started: 2010
Completed: 2014
Functions: residential
Rank: 27

*** YC Condominiums ***
Height: 202.24
Floors: 60
Status: Completed
Started: 2015
Completed: 2018
Functions: residential
Rank: 28

*** 88 Scott ***
Height: 198.2
Floors: 58
Status: Completed
Started: 2014
Completed: 2017
Functions: residential
Rank: 29

*** Bay Adelaide Centre East Tower ***
Height: 196
Floors: 44
Status: Completed
Started: 2013
Completed: 2016
Functions: residential / office
Rank: 30

*** E Condos South ***
Height: 195.68
Floors: 58
Status: Architecturally Topped Out
Started: 2014
Completed: 2019
Functions: residential / retail
Rank: 31

*** Wellesley on the Park ***
Height: 194.2
Floors: 60
Status: Under Construction
Started: 2015
Completed: 2019
Functions: residential / retail
Rank: 32

*** 22|21 Yonge ***
Height: 192.5
Floors: 58
Status: Under Construction
Started: 2016
Completed: 2019
Functions: residential / retail
Rank: 33

*** EY Tower ***
Height: 188.2
Floors: 40
Status: Completed
Started: 2014
Completed: 2017
Functions: office
Rank: 34

*** 19 Duncan Street ***
Height: 186.5
Floors: 58
Status: Under Construction
Started: 2018
Completed: 2022
Functions: residential / office / retail
Rank: 35

*** RBC Centre ***
Height: 184.89
Floors: 42
Status: Completed
Started: 2006
Completed: 2009
Functions: office
Rank: 36

*** CASA II ***
Height: 184.5
Floors: 57
Status: Completed
Started: 2013
Completed: 2016
Functions: residential / residential
Rank: 37

*** U Condominiums - East Tower ***
Height: 184
Floors: 55
Status: Completed
Started: 2012
Completed: 2016
Functions: residential
Rank: 38

*** 1 Yorkville ***
Height: 183.2
Floors: 58
Status: Under Construction
Started: 2016
Completed: 2019
Functions: residential
Rank: 39

*** TD North Tower ***
Height: 182.88
Floors: 46
Status: Completed
Started: 1964
Completed: 1969
