*** Sydney (505) ***
1.   Crown Sydney Hotel and Resort, 271m
Functions: office
Rank: 5

*** Sydney Greenland Centre ***
Height: 236.5
Floors: 68
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 6

*** World Tower ***
Height: 230
Floors: 73
Status: Completed
Started: 2001
Completed: 2004
Functions: residential
Rank: 7

*** MLC Centre ***
Height: 228
Floors: 60
Status: Completed
Started: 1972
Completed: 1977
Functions: office
Rank: 8

*** Governor Phillip Tower ***
Height: 227
Floors: 54
Status: Completed
Completed: 1993
Functions: office
Rank: 9

*** Ernst & Young Tower at Latitude ***
Height: 222
Floors: 45
Status: Completed
Started: 2002
Completed: 2004
Functions: office
Rank: 10

*** Aurora Place ***
Height: 218.85
Floors: 41
Status: Completed
Started: 1998
Completed: 2000
Functions: office
Rank: 11

*** International Towers Sydney Tower 1 ***
Height: 217
Floors: 51
Status: Completed
Started: 2014
Completed: 2016
Functions: office
Rank: 12

*** Quay Quarter Tower ***
Height: 216
Floors: 54
Status: Under Construction
Started: 2018
Completed: 2020
Functions: office
Rank: 13

*** Suncorp Place ***
Height: 193
Floors: 48
Status: Completed
Started: 1970
Completed: 1982
Functions: office
Rank: 14

*** ANZ Tower ***
Height: 191
Floors: 43
Status: Completed
Started: 2010
Completed: 2013
Functions: office
Rank: 15

*** Century Tower ***
Height: 182.97
Floors: 50
Status: Completed
Completed: 1997
Functions: residential
Rank: 16

*** Grosvenor Place ***
Height: 180
Floors: 45
Status: Completed
Started: 1984
Completed: 1988
Functions: office
Rank: 17

*** International Towers Sydney Tower 2 ***
Height: 178
Floors: 43
Status: Completed
Started: 2013
Completed: 2015
Functions: office
Rank: 18

*** Castlereagh Centre ***
Height: 173
Floors: 31
Status: Completed
Started: 1987
Completed: 1989
Functions: office
Rank: 19

*** Meriton Tower ***
Height: 170
Floors: 48
Status: Completed
Started: 2004
Completed: 2006
Functions: residential
Rank: 20

*** Australia Square Tower ***
Height: 170
Floors: 46
Status: Completed
Started: 1965
Completed: 1967
Functions: office
Rank: 21

*** Metro Grand Residences ***
Height: 170
Floors: 40
Status: Completed
Started: 2012
Completed: 2014
Functions: residential
Rank: 22

*** International Towers Sydney Tower 3 ***
Height: 169
Floors: 40
Status: Completed
Started: 2013
Completed: 2016
Functions: office
Rank: 23

*** The Peak ***
