*** Nanning (663) ***
1.   Skyfame Center Landmark Tower, 420m
Rank: 34

*** Xianggang Jie #5-1 ***
Height: 178.95
Floors: 56
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 35

*** Xianggang Jie #5-2 ***
Height: 178.95
Floors: 56
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 35

*** Vanke City South Area #17 ***
Height: 178.7
Floors: 55
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 37

*** Guangxi International Trade Center Main Tower ***
Height: 177.2
Floors: 45
Status: Completed
Completed: 2008
Functions: office
Rank: 38

*** Nanning Taiping Financial Building ***
Height: 173
Floors: 37
Status: Architecturally Topped Out
Started: 2014
Completed: 2018
Functions: office
Rank: 39

*** Vanke City South Area #18 ***
Height: 169.3
Floors: 55
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 40

*** Park Lane Manor 7 ***
Height: 169
Floors: 50
Status: Completed
Started: 2014
Completed: 2016
Functions: residential
Rank: 41

*** Park Lane Manor 8 ***
Height: 169
Floors: 50
Status: Completed
Started: 2014
Completed: 2016
Functions: residential
Rank: 41

*** Park Lane Manor 9 ***
Height: 169
Floors: 50
Status: Completed
Started: 2014
Completed: 2016
Functions: residential
Rank: 41

*** Nanning No. 2 Telecom Hinge Building ***
Height: 168
Floors: 33
Status: Completed
Completed: 1999
Functions: office
Rank: 44

*** Park Lane Manor 1 ***
Height: 165
Floors: 45
Status: Completed
Started: 2012
Completed: 2014
Functions: residential
Rank: 45

*** Park Lane Manor 2 ***
Height: 165
Floors: 45
Status: Completed
Started: 2012
Completed: 2014
Functions: residential
Rank: 45

*** Park Lane Manor 3 ***
Height: 165
Floors: 45
Status: Completed
Started: 2012
Completed: 2014
Functions: residential
Rank: 45

*** Park Lane Manor 4 ***
Height: 165
Floors: 45
Status: Completed
Started: 2012
Completed: 2014
Functions: residential
Rank: 45

*** Vanke City South Area #15 ***
Height: 164.2
Floors: 55
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 49

*** Vanke City South Area #16 ***
Height: 164.2
Floors: 55
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 49

*** Huarun Jiacheng Five Elephants Office Building ***
Height: 160.4
Floors: 40
Status: Under Construction
Functions: office
